Probability of fire spreading, Average percent burned with forest size of 20x20
0.000000 , 0.000000 , count: 2.000000 
0.010000 , 0.000168 , count: 2.067000 
0.020000 , 0.000204 , count: 2.081200 
0.030000 , 0.000231 , count: 2.088800 
0.040000 , 0.000549 , count: 2.210400 
0.050000 , 0.000551 , count: 2.207600 
0.060000 , 0.000652 , count: 2.257000 
0.070000 , 0.001029 , count: 2.362800 
0.080000 , 0.001242 , count: 2.430600 
0.090000 , 0.001151 , count: 2.388600 
0.100000 , 0.001272 , count: 2.465000 
0.110000 , 0.001438 , count: 2.493000 
0.120000 , 0.001922 , count: 2.652600 
0.130000 , 0.001960 , count: 2.655800 
0.140000 , 0.002741 , count: 2.866200 
0.150000 , 0.002493 , count: 2.806400 
0.160000 , 0.003274 , count: 3.067800 
0.170000 , 0.003576 , count: 3.076000 
0.180000 , 0.003904 , count: 3.180800 
0.190000 , 0.003789 , count: 3.152400 
0.200000 , 0.004599 , count: 3.338000 
0.210000 , 0.005478 , count: 3.533200 
0.220000 , 0.005690 , count: 3.606600 
0.230000 , 0.006473 , count: 3.746600 
0.240000 , 0.006968 , count: 3.855000 
0.250000 , 0.007781 , count: 4.036600 
0.260000 , 0.009361 , count: 4.295200 
0.270000 , 0.009873 , count: 4.403400 
0.280000 , 0.011018 , count: 4.656800 
0.290000 , 0.011459 , count: 4.727000 
0.300000 , 0.015971 , count: 5.597400 
0.310000 , 0.019404 , count: 6.023000 
0.320000 , 0.018043 , count: 5.795800 
0.330000 , 0.020850 , count: 6.194000 
0.340000 , 0.024532 , count: 6.699600 
0.350000 , 0.030490 , count: 7.363800 
0.360000 , 0.032782 , count: 7.676600 
0.370000 , 0.041834 , count: 8.518400 
0.380000 , 0.056062 , count: 10.176800 
0.390000 , 0.060076 , count: 10.532200 
0.400000 , 0.064398 , count: 11.247400 
0.410000 , 0.086765 , count: 12.801200 
0.420000 , 0.100076 , count: 13.960800 
0.430000 , 0.121355 , count: 15.385200 
0.440000 , 0.145950 , count: 16.939000 
0.450000 , 0.167159 , count: 18.241800 
0.460000 , 0.178177 , count: 18.608600 
0.470000 , 0.233399 , count: 21.537400 
0.480000 , 0.250027 , count: 21.424600 
0.490000 , 0.317655 , count: 24.786200 
0.500000 , 0.347411 , count: 25.262000 
0.510000 , 0.436110 , count: 28.478200 
0.520000 , 0.499786 , count: 30.260000 
0.530000 , 0.561405 , count: 31.583600 
0.540000 , 0.613825 , count: 31.572800 
0.550000 , 0.649532 , count: 31.056200 
0.560000 , 0.700274 , count: 31.756800 
0.570000 , 0.758244 , count: 32.942800 
0.580000 , 0.789245 , count: 30.938200 
0.590000 , 0.824215 , count: 30.817000 
0.600000 , 0.837281 , count: 29.654400 
0.610000 , 0.835278 , count: 28.459000 
0.620000 , 0.882068 , count: 29.053800 
0.630000 , 0.893637 , count: 27.845000 
0.640000 , 0.916369 , count: 27.829800 
0.650000 , 0.926032 , count: 26.700000 
0.660000 , 0.926542 , count: 26.075800 
0.670000 , 0.952325 , count: 25.779400 
0.680000 , 0.953950 , count: 25.063600 
0.690000 , 0.955563 , count: 24.652400 
0.700000 , 0.956808 , count: 23.909000 
0.710000 , 0.962669 , count: 23.833600 
0.720000 , 0.978837 , count: 23.818400 
0.730000 , 0.969946 , count: 23.385800 
0.740000 , 0.987104 , count: 23.320200 
0.750000 , 0.983369 , count: 23.071800 
0.760000 , 0.984391 , count: 22.785800 
0.770000 , 0.987968 , count: 22.672200 
0.780000 , 0.992892 , count: 22.670600 
0.790000 , 0.990617 , count: 22.596200 
0.800000 , 0.995203 , count: 22.465800 
0.810000 , 0.995831 , count: 22.512400 
0.820000 , 0.996616 , count: 22.477800 
0.830000 , 0.997235 , count: 22.354600 
0.840000 , 0.997864 , count: 22.243400 
0.850000 , 0.994991 , count: 22.101200 
0.860000 , 0.998777 , count: 22.220800 
0.870000 , 0.998876 , count: 22.162400 
0.880000 , 0.999164 , count: 22.122000 
0.890000 , 0.999373 , count: 22.045200 
0.900000 , 0.999520 , count: 22.118600 
0.910000 , 0.999696 , count: 22.070600 
0.920000 , 0.999670 , count: 22.036000 
0.930000 , 0.999833 , count: 22.031400 
0.940000 , 0.999841 , count: 22.022400 
0.950000 , 0.999940 , count: 21.998400 
0.960000 , 0.999977 , count: 22.005400 
0.970000 , 0.999975 , count: 22.009200 
0.980000 , 1.000000 , count: 22.000000 
0.990000 , 0.999993 , count: 22.003200 
1.000000 , 1.000000 , count: 22.000000 
Finished in time 0.187155 secs.

*** Fatal: DISPLAY variable not set.
-------------------------------------------------------
Primary job  terminated normally, but 1 process returned
a non-zero exit code.. Per user-direction, the job has been aborted.
-------------------------------------------------------
--------------------------------------------------------------------------
mpirun detected that one or more processes exited with non-zero status, thus causing
the job to be terminated. The first process to do so was:

  Process name: [[29962,1],0]
  Exit code:    1
--------------------------------------------------------------------------
